Section,Subsection,Cause,Explanation,Illustration ,Effect,
S. 1,,"Short title, commencement, and territorial application of the Act.","The Act consolidates provisions related to offenses, effective from a date appointed by the Central Government. It applies to any person, including those committing offenses outside India under specific circumstances, such as targeting Indian resources.","A, a citizen of India, commits murder outside India. He can be tried for murder in India as if the crime were committed within India.","The Bharatiya Nyaya Sanhita, 2023, applies to all offenses within India and specific extraterritorial crimes. No other law related to mutiny, desertion, or special laws is affected.",
S. 2,-,To provide definitions of key terms used in the Act.,"Defines terms such as ""act,"" ""animal,"" ""counterfeit,"" ""Court,"" ""death,"" ""dishonestly,"" ""document,"" and others to ensure clarity and uniform interpretation of the law.",A cheque is considered a document as it may serve as evidence of a transaction.,Ensures consistency and avoids ambiguity in interpreting the Act.,
S. 3,,To provide clarity and exceptions to definitions and liabilities.,"Definitions of offences, penal provisions, and illustrations must be read subject to ""General Exceptions,"" ensure uniformity of terms, encompass acts and omissions, and establish liability for joint actions or shared intent.",A child under seven cannot commit offences due to the general exception; joint jailors A and B are both guilty of murder due to their shared intent.,"Ensures comprehensive understanding of offences, consistent terminology, accountability for omissions, and appropriate liability based on intent and action.",
S. 4,53,The punishments to which offenders are liable under the provisions of this Sanhita.,This section outlines the types of punishments applicable under the Bharatiya Nyaya Sanhita.,"The punishments include: Death, Imprisonment for life, Imprisonment (rigorous and simple), Forfeiture of property, Fine, and Community Service.",Specifies the range of punishments offenders can face under the Act.,
S. 5,,"The appropriate Government may, without the consent of the offender, commute any punishment under this Sanhita to any other punishment in accordance with section 474 of the Bharatiya Nagarik Suraksha Sanhita, 2023.","This section allows the commutation of a sentence by the appropriate Government, which is defined based on the nature of the offence.",The appropriate Government may commute a punishment to any other punishment without the offender’s consent.,"Enables the commutation of a sentence by the appropriate Government, depending on jurisdiction.",
S. 6,,"In calculating fractions of terms of punishment, imprisonment for life shall be reckoned as equivalent to imprisonment for twenty years unless otherwise provided.","This section clarifies how fractions of terms of punishment are to be calculated, specifically for imprisonment for life.",Imprisonment for life is treated as equivalent to twenty years unless otherwise specified.,Establishes the rule for calculating fractions of life imprisonment terms.,
S. 7,,"The appropriate Government may, without the consent of the offender, commute any punishment under this Sanhita to any other punishment in accordance with section 474 of the Bharatiya Nagarik Suraksha Sanhita, 2023.","This section allows the commutation of a sentence by the appropriate Government, which is defined based on the nature of the offence.",The appropriate Government may commute a punishment to any other punishment without the offender’s consent.,"Enables the commutation of a sentence by the appropriate Government, depending on jurisdiction.",
S. 8,"63, 64, 65, 66, 67, 68, 69, 70","The section outlines the amount of fine, default imprisonment, and terms for defaulting on payment of fines.","Defines the amount of fine and liability for default payment, including details on imprisonment terms for non-payment and how fines may be levied.","A is sentenced to a fine of one thousand rupees and four months’ imprisonment in default. If seven hundred and fifty rupees are paid before one month of imprisonment, A will be discharged.","Establishes procedures for fines and imprisonment terms for non-payment, including conditions for termination of imprisonment based on payment.",
S. 9,,"The section limits the punishment for multiple offences that constitute a single act or offence, unless explicitly stated otherwise.","If an act consists of several parts, any of which is an offence, the offender is not punished for more than one of those offences unless expressly stated.","A gives Z fifty strokes with a stick. A is only punished for the whole beating, not for each individual blow. However, if A strikes Y while beating Z, A is liable for two separate offences—one for Z and one for Y.","Limits multiple punishments for offences that make up a single act, ensuring the offender isn't punished multiple times for related actions unless specified.",
S. 10,,The section outlines how a person should be punished when it is uncertain which of several offences they are guilty of.,"If the judgment is unclear about which offence the offender committed, the offender will be punished with the lowest punishment for any of the possible offences, provided the same punishment is not specified for all.","If it is uncertain whether an offender committed offence A or offence B, and the punishment for offence A is lighter than for offence B, the offender will receive the punishment for offence A.",Ensures the offender is given the least severe punishment in cases of uncertainty about which offence was committed.,
S. 11,,The section allows for solitary confinement as part of the sentence for certain offences involving rigorous imprisonment.,"If a person is convicted of an offence punishable by rigorous imprisonment, the Court may order solitary confinement for a portion of the sentence, with limits based on the length of the imprisonment.","If the imprisonment is less than six months, solitary confinement may last up to one month. If the imprisonment exceeds six months but not one year, it can last up to two months, and up to three months for terms exceeding one year.","Provides the Court with the authority to impose solitary confinement as part of the sentence for certain offences, within defined limits.",
S. 12,,The section places limits on the duration of solitary confinement during imprisonment.,"Solitary confinement cannot exceed fourteen days at a time, and there must be intervals of at least the same length. If imprisonment exceeds three months, solitary confinement is limited to seven days per month, with similar intervals between periods.","If an offender is sentenced to six months in prison, solitary confinement cannot exceed fourteen days at once, and there must be intervals of at least fourteen days between each period of solitary confinement.",Ensures that solitary confinement is used within strict limits to avoid excessive isolation.,
S. 13,,The section provides for enhanced punishment for repeat offenders convicted under specific chapters.,"If a person is convicted of an offence punishable under Chapters X or XVII with imprisonment of three years or more, and later commits a similar offence, they face enhanced punishment, including life imprisonment or a term of up to ten years.","If someone convicted of an offence under Chapters X or XVII of the Sanhita is later convicted again for a similar offence, they will face life imprisonment or a term of up to ten years.",Establishes stricter penalties for repeat offenders to deter further criminal activity.,
S. 14,76,The section exempts a person from liability if they act under a legal obligation or due to a genuine mistake of fact.,"If a person acts under a mistake of fact, in good faith, believing themselves to be bound by law, they do not commit an offence.","A soldier fires on a mob by order of his superior officer, believing it is lawful. A has committed no offence. A court officer arrests Z after mistakenly believing Z is the person they are ordered to arrest.",Protects individuals from criminal liability if they act in good faith under the belief that they are legally bound to do so.,
S. 15,77,The section shields a Judge from liability when acting in their judicial capacity under the belief that their actions are legally authorized.,"A Judge is not guilty of an offence when performing their judicial duties in good faith, based on their belief that the law grants them such authority.","A Judge makes a ruling, believing it to be in line with the law, and is not held liable for the decision even if later found incorrect.","Protects Judges from criminal responsibility for acts done in the course of their judicial duties, as long as they act in good faith.",
S. 16,78,"The section exempts from liability any act done in pursuance of a Court’s judgment or order, even if the Court lacked jurisdiction, provided the person acted in good faith.","An act done following a Court’s judgment or order is not an offence if the person believed in good faith that the Court had jurisdiction, even if the Court did not have jurisdiction.","A person acts based on a Court order, believing the Court had jurisdiction, and the act is not an offence despite the lack of jurisdiction.","Protects individuals from liability when acting under a Court’s order or judgment, provided they act in good faith.",
S. 17,79,"This section exempts individuals from liability if they act in accordance with the law or in good faith, believing they are justified by law.","If a person, acting in good faith, believes they are justified by law to take certain actions, they are not guilty of an offence.","A, in good faith, apprehends Z, believing Z is committing a murder, but Z was acting in self-defence. A has committed no offence.",Shields individuals from liability when they believe they are legally justified in their actions.,
S. 18,80,The section protects individuals from liability if they cause harm accidentally while performing a lawful act with care.,"If harm occurs unintentionally while performing a lawful act in a lawful manner with proper care, no offence is committed.","A accidentally kills someone while working with a hatchet, but there was no negligence. A is not guilty of an offence.","Exempts individuals from liability for accidents during lawful acts, as long as no criminal intent or negligence is involved.",
S. 19,81,"This section protects individuals from liability if they cause harm while attempting to prevent greater harm, without criminal intent.","If harm is caused without criminal intent while trying to prevent a greater harm, it is not an offence, provided the harm was justified.","A changes the course of a vessel to avoid running down a boat with more passengers, even though it risks running down a smaller boat. A is not guilty if the danger was imminent and justified the risk.",Provides a defence for individuals who cause harm to avoid greater harm in good faith.,
S. 20,82,A child under the age of seven is exempt from criminal liability for their actions.,A child under seven years old cannot be held guilty of committing an offence.,A child under seven accidentally breaks something but cannot be held criminally responsible for the act.,Protects children under seven from criminal liability.,
S. 21,83,Act of a child above seven and under twelve of immature understanding,A child above seven but under twelve who lacks maturity of understanding,A child aged between seven and twelve is not guilty of an offence if they lack sufficient maturity to understand the nature and consequences of their actions.,A child of 9 who lacks the understanding of the consequences of their actions is not guilty of an offence they committed.,
S. 22,84,Act of a person of unsound mind,Mental illness preventing the person from understanding the nature or wrongfulness of the act,A person with a mental illness that prevents them from understanding the nature of their actions or knowing they are wrong is not guilty of an offence.,A person with severe mental illness commits an act but is unaware that it is wrong due to their condition.,
